Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
11-02-22_21:38:06, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.0,dp,0.83, 0.16, 0.83, 0.16, 0.80, 0.14
11-02-22_22:17:29, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.0,dp,0.87, 0.16, 0.87, 0.16, 0.86, 0.15
11-02-22_22:38:10, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.06,dp,0.86, 0.14, 0.86, 0.14, 0.85, 0.13
11-02-22_22:57:15, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.12,dp,0.83, 0.09, 0.83, 0.09, 0.83, 0.10
11-02-22_23:18:26, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.18,dp,0.83, 0.08, 0.84, 0.05, 0.82, 0.07
11-02-22_23:39:36, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.24,dp,0.79, 0.02, 0.79, 0.02, 0.81, 0.02
11-03-22_00:00:13, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.3,dp,0.76, -0.06, 0.77, -0.04, 0.78, -0.05
11-03-22_12:39:21, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.0,dp,0.84, 0.15, 0.84, 0.14, 0.81, 0.14
11-03-22_12:56:59, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.06,dp,0.81, 0.12, 0.81, 0.12, 0.79, 0.11
11-03-22_13:14:37, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.001, logistic,0.12,dp,0.77, 0.09, 0.81, 0.07, 0.77, 0.08
11-03-22_13:54:14, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.005, logistic,0.0,dp,0.80, 0.12, 0.80, 0.12, 0.79, 0.12
11-03-22_14:11:54, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.005, logistic,0.06,dp,0.79, 0.08, 0.79, 0.08, 0.77, 0.08
11-03-22_14:29:36, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.005, logistic,0.12,dp,0.71, 0.04, 0.72, 0.08, 0.72, 0.06
11-03-22_14:47:00, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.005, logistic,0.18,dp,0.73, 0.08, 0.73, 0.08, 0.72, 0.06
11-03-22_15:04:34, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.005, logistic,0.24,dp,0.78, 0.07, 0.78, 0.07, 0.70, 0.02
11-03-22_15:22:23, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, LFW_to_CelebA, 128,0.01,cosine_lr,0.005, logistic,0.3,dp,0.71, -0.01, 0.71, -0.01, 0.69, -0.01
