Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
08-10-22_01:38:30, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.56, 0.05, 0.58, 0.06, 0.57, 0.06
08-10-22_01:52:32, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.52, 0.00, 0.52, 0.00, 0.52, 0.00
08-10-22_02:06:31, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.53, -0.01, 0.56, 0.03, 0.56, 0.02
08-10-22_02:20:30, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.53, 0.04, 0.55, -0.00, 0.53, 0.01
08-10-22_02:34:19, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.57, 0.05, 0.58, 0.07, 0.58, 0.04
08-10-22_02:48:28, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.57, 0.10, 0.58, 0.14, 0.57, 0.10
08-10-22_03:02:23, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.1, logistic,0.06,dp,0.57, 0.06, 0.59, 0.06, 0.58, 0.04
08-10-22_03:16:20, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.1, logistic,0.12,dp,0.55, 0.05, 0.55, 0.05, 0.55, 0.04
08-10-22_03:30:17, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.1, logistic,0.18,dp,0.53, -0.01, 0.55, -0.00, 0.57, 0.02
08-10-22_03:44:11, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.1, logistic,0.24,dp,0.53, 0.01, 0.54, 0.00, 0.54, 0.00
08-10-22_03:58:20, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.4, logistic,0.0,dp,0.63, 0.14, 0.63, 0.14, 0.63, 0.12
08-10-22_04:12:30, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.4, logistic,0.06,dp,0.64, 0.12, 0.64, 0.12, 0.64, 0.09
08-10-22_04:26:38, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.4, logistic,0.12,dp,0.61, 0.03, 0.61, 0.04, 0.61, 0.03
08-10-22_04:40:50, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.4, logistic,0.18,dp,0.50, 0.01, 0.50, 0.01, 0.50, 0.01
08-10-22_04:55:00, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.4, logistic,0.24,dp,0.62, -0.07, 0.62, -0.07, 0.61, -0.07
08-10-22_05:09:30, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.8, logistic,0.0,dp,0.52, 0.00, 0.52, 0.00, 0.52, 0.00
08-10-22_05:23:55, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.8, logistic,0.06,dp,0.55, 0.03, 0.55, 0.03, 0.55, 0.03
08-10-22_05:38:19, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_filter, 128,0.01,cosine_lr,0.8, logistic,0.12,dp,0.57, 0.04, 0.61, 0.04, 0.58, 0.02
