Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
08-10-22_01:37:44, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.88, 0.13, 0.88, 0.13, 0.88, 0.13
08-10-22_01:51:46, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.84, 0.08, 0.86, 0.08, 0.87, 0.08
08-10-22_02:05:39, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.88, 0.08, 0.88, 0.08, 0.87, 0.03
08-10-22_02:19:31, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.86, -0.03, 0.86, -0.03, 0.85, -0.03
08-10-22_02:33:18, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.83, -0.09, 0.83, -0.09, 0.82, -0.12
08-10-22_02:47:30, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.88, 0.12, 0.88, 0.16, 0.88, 0.14
08-10-22_03:01:29, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.06,dp,0.88, 0.08, 0.88, 0.08, 0.88, 0.08
08-10-22_03:15:27, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.12,dp,0.88, 0.03, 0.88, 0.03, 0.88, 0.02
08-10-22_03:29:21, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.18,dp,0.85, -0.02, 0.85, -0.05, 0.86, -0.04
08-10-22_03:43:15, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.1, logistic,0.24,dp,0.84, -0.11, 0.84, -0.11, 0.83, -0.10
08-10-22_03:57:24, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.0,dp,0.89, 0.15, 0.89, 0.15, 0.88, 0.13
08-10-22_04:11:35, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.06,dp,0.87, 0.10, 0.88, 0.07, 0.88, 0.07
08-10-22_04:25:43, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.12,dp,0.87, 0.01, 0.87, 0.01, 0.86, 0.01
08-10-22_04:39:54, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.18,dp,0.85, -0.04, 0.85, -0.04, 0.85, -0.05
08-10-22_04:54:09, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.4, logistic,0.24,dp,0.83, -0.11, 0.83, -0.11, 0.82, -0.12
08-10-22_05:08:43, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.0,dp,0.87, 0.13, 0.87, 0.13, 0.86, 0.13
08-10-22_05:22:58, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.06,dp,0.87, 0.06, 0.87, 0.06, 0.86, 0.07
08-10-22_05:37:30, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.12,dp,0.84, -0.00, 0.84, -0.00, 0.84, 0.01
08-10-22_05:51:48, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_kernel, 128,0.01,cosine_lr,0.8, logistic,0.18,dp,0.83, -0.05, 0.83, -0.05, 0.83, -0.06
