Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
08-10-22_01:41:39, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.90, 0.14, 0.90, 0.14, 0.90, 0.14
08-10-22_01:50:18, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.89, 0.08, 0.89, 0.08, 0.90, 0.09
08-10-22_02:04:17, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.89, 0.04, 0.89, 0.04, 0.89, 0.03
08-10-22_02:18:06, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.87, -0.03, 0.87, -0.03, 0.87, -0.03
08-10-22_02:31:53, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.85, -0.08, 0.85, -0.08, 0.85, -0.10
08-10-22_02:45:58, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.91, 0.14
08-10-22_02:59:53, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.1, logistic,0.06,dp,0.91, 0.10, 0.91, 0.10, 0.90, 0.09
08-10-22_03:13:44, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.1, logistic,0.12,dp,0.89, 0.02, 0.89, 0.02, 0.89, 0.03
08-10-22_03:27:32, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.1, logistic,0.18,dp,0.86, -0.05, 0.86, -0.05, 0.87, -0.04
08-10-22_03:41:21, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.1, logistic,0.24,dp,0.85, -0.09, 0.85, -0.09, 0.85, -0.10
08-10-22_03:55:06, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.4, logistic,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.90, 0.14
08-10-22_04:09:02, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.4, logistic,0.06,dp,0.90, 0.08, 0.90, 0.08, 0.89, 0.08
08-10-22_04:23:00, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.4, logistic,0.12,dp,0.87, 0.01, 0.89, 0.03, 0.88, 0.01
08-10-22_04:37:02, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.4, logistic,0.18,dp,0.87, -0.04, 0.87, -0.04, 0.86, -0.05
08-10-22_04:50:54, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.4, logistic,0.24,dp,0.83, -0.10, 0.83, -0.10, 0.83, -0.12
08-10-22_05:04:47, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.8, logistic,0.0,dp,0.90, 0.15, 0.90, 0.15, 0.89, 0.14
08-10-22_05:18:41, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.8, logistic,0.06,dp,0.88, 0.08, 0.88, 0.08, 0.88, 0.07
08-10-22_05:32:39, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.8, logistic,0.12,dp,0.86, 0.01, 0.86, 0.01, 0.87, 0.01
08-10-22_05:46:34, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.8, logistic,0.18,dp,0.85, -0.04, 0.85, -0.04, 0.85, -0.05
08-10-22_06:00:29, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.8, logistic,0.24,dp,0.83, -0.12, 0.83, -0.12, 0.83, -0.11
08-10-22_06:14:26, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.95, logistic,0.0,dp,0.89, 0.14, 0.89, 0.14, 0.88, 0.14
08-10-22_06:28:24, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.95, logistic,0.06,dp,0.87, 0.07, 0.87, 0.07, 0.86, 0.07
08-10-22_06:42:22, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.95, logistic,0.12,dp,0.86, 0.01, 0.86, 0.01, 0.86, 0.01
08-10-22_06:56:16, configs/celeba/ResNet18sparse_celeba.yml, ResNet18__sparse_celeba_sc_row, 128,0.01,cosine_lr,0.95, logistic,0.18,dp,0.83, -0.08, 0.83, -0.08, 0.84, -0.06
