Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
07-04-22_21:16:09, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.93, 0.14
07-04-22_21:24:07, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.93, 0.13, 0.93, 0.13, 0.93, 0.12
07-04-22_21:31:59, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.93, 0.10, 0.93, 0.10, 0.93, 0.10
07-04-22_21:39:51, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.92, 0.06, 0.92, 0.06, 0.92, 0.07
07-04-22_21:47:51, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.91, 0.03, 0.91, 0.03, 0.91, 0.04
07-04-22_21:55:39, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.90, -0.01, 0.90, -0.01, 0.90, -0.01
07-04-22_22:03:31, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.89, -0.06, 0.89, -0.06, 0.87, -0.10
07-05-22_02:33:06, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.93, 0.15
07-05-22_02:40:51, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.93, 0.11, 0.93, 0.11, 0.93, 0.12
07-05-22_02:48:38, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.92, 0.07, 0.92, 0.07, 0.93, 0.10
07-05-22_02:56:28, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.93, 0.07, 0.93, 0.07, 0.92, 0.07
07-05-22_03:04:20, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.92, 0.04, 0.92, 0.04, 0.91, 0.04
07-05-22_03:12:11, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.90, -0.04, 0.90, 0.00, 0.90, -0.01
07-05-22_03:20:04, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.85, -0.16, 0.87, -0.10, 0.87, -0.10
07-05-22_06:35:39, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.15, 0.93, 0.15, 0.93, 0.14
07-05-22_06:43:27, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.93, 0.11, 0.93, 0.11, 0.93, 0.12
07-05-22_06:51:21, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.92, 0.09, 0.92, 0.09, 0.93, 0.10
07-05-22_06:59:18, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.92, 0.05, 0.92, 0.05, 0.92, 0.07
07-05-22_07:07:13, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.92, 0.04, 0.92, 0.04, 0.91, 0.04
07-05-22_07:15:07, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.87, -0.10, 0.91, 0.04, 0.90, -0.01
07-05-22_07:23:02, configs/celeba/ResNet18dense_celeba_sc.yml, ResNet18_dense_celeba_sc, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.88, -0.08, 0.88, -0.08, 0.87, -0.10
