Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
07-04-22_20:49:14, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.78, 0.09, 0.78, 0.09, 0.54, 0.00
07-04-22_20:52:20, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.67, 0.05, 0.67, 0.05, 0.58, -0.01
07-04-22_20:55:28, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.53, -0.07, 0.53, -0.07, 0.52, -0.02
07-04-22_20:58:37, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.83, -0.05, 0.83, -0.05, 0.57, -0.04
07-04-22_21:01:43, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.84, -0.08, 0.84, -0.08, 0.61, -0.07
07-04-22_21:04:55, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.78, -0.20, 0.78, -0.20, 0.61, -0.08
07-04-22_21:08:04, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.52, -0.05, 0.52, -0.05, 0.51, -0.04
07-05-22_02:06:15, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.55, 0.04, 0.55, 0.04, 0.52, 0.01
07-05-22_02:09:22, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.71, 0.07, 0.71, 0.07, 0.58, 0.02
07-05-22_02:12:29, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.72, 0.04, 0.72, 0.04, 0.57, -0.01
07-05-22_02:15:43, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.76, -0.08, 0.76, -0.08, 0.64, -0.06
07-05-22_02:18:55, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.78, -0.18, 0.78, -0.18, 0.55, -0.04
07-05-22_02:22:06, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.75, -0.22, 0.75, -0.22, 0.62, -0.09
07-05-22_02:25:17, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.61, -0.04, 0.61, -0.04, 0.56, -0.04
07-05-22_06:09:02, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.84, 0.08, 0.84, 0.08, 0.56, 0.01
07-05-22_06:12:11, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.67, 0.01, 0.67, 0.01, 0.53, -0.03
07-05-22_06:15:18, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.70, 0.03, 0.70, 0.03, 0.54, -0.02
07-05-22_06:18:22, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.76, -0.03, 0.76, -0.03, 0.61, -0.03
07-05-22_06:21:32, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.58, -0.03, 0.58, -0.03, 0.62, -0.04
07-05-22_06:24:38, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.59, -0.06, 0.59, -0.06, 0.52, -0.03
07-05-22_06:27:47, configs/celeba/ResNet18dense_celeba_unc.yml, ResNet18_dense_celeba_unc, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.67, -0.21, 0.67, -0.21, 0.57, -0.07
