Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
10-26-22_00:35:24, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.0,eoo,0.81, 0.04, 0.81, 0.04, 0.81, -0.03
10-26-22_00:36:55, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.03,eoo,0.69, -0.22, 0.76, -0.06, 0.78, -0.12
10-26-22_00:38:27, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.06,eoo,0.70, -0.18, 0.71, -0.20, 0.73, -0.22
10-26-22_00:39:59, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.09,eoo,0.72, -0.23, 0.72, -0.23, 0.68, -0.28
10-26-22_00:41:31, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.12,eoo,0.64, -0.26, 0.64, -0.16, 0.63, -0.28
10-26-22_00:43:02, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.15,eoo,0.61, -0.11, 0.61, -0.11, 0.58, -0.19
10-26-22_00:44:33, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.18,eoo,0.62, -0.26, 0.62, -0.26, 0.58, -0.28
10-26-22_00:46:03, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.21,eoo,0.53, -0.04, 0.57, -0.13, 0.57, -0.20
10-26-22_00:47:33, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.24,eoo,0.53, -0.06, 0.53, -0.06, 0.54, -0.10
10-26-22_00:49:04, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.27,eoo,0.52, -0.03, 0.63, -0.35, 0.57, -0.34
10-26-22_00:50:34, configs/utkface2/ResNet18dense_utkface2.yml, ResNet18_dense_utkface, 128,0.01,ReduceLROnPlateau,1.0, logistic,0.3,eoo,0.53, -0.17, 0.61, -0.16, 0.55, -0.21
