Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
10-09-22_04:59:04, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.93, 0.15, 0.93, 0.15, 0.94, 0.14
10-09-22_05:17:17, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.93, 0.11, 0.93, 0.11, 0.94, 0.12
10-09-22_05:35:24, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.92, 0.09, 0.92, 0.09, 0.94, 0.09
10-09-22_05:53:30, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.92, 0.05, 0.92, 0.07, 0.93, 0.06
10-09-22_06:11:34, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.90, 0.01, 0.92, 0.07, 0.92, 0.02
10-09-22_06:29:58, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.05, logistic,0.3,dp,0.89, -0.04, 0.91, 0.02, 0.90, -0.04
10-09-22_06:48:19, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.05, logistic,0.36,dp,0.85, -0.16, 0.85, -0.16, 0.86, -0.14
10-09-22_07:06:42, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.93, 0.13, 0.93, 0.13, 0.94, 0.14
10-09-22_07:25:07, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.1, logistic,0.06,dp,0.93, 0.11, 0.93, 0.11, 0.94, 0.11
10-09-22_07:43:22, configs/celeba/ResNet18pretrained_celeba_ft_subnet_inherit.yml, ResNet18_pretrained_celeba_ft_subnet_inherit, 128,0.01,cosine_lr,0.1, logistic,0.12,dp,0.92, 0.05, 0.92, 0.07, 0.93, 0.08
