Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
07-05-22_00:05:55, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.92, 0.15, 0.92, 0.15, 0.92, 0.14
07-05-22_00:14:10, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.92, 0.10, 0.92, 0.10, 0.92, 0.10
07-05-22_00:22:30, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.91, 0.04, 0.91, 0.04, 0.91, 0.05
07-05-22_00:30:45, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.90, 0.01, 0.90, 0.01, 0.90, 0.01
07-05-22_00:39:08, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.87, -0.02, 0.87, -0.02, 0.88, -0.05
07-05-22_00:47:25, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.92, 0.15, 0.92, 0.15, 0.92, 0.14
07-05-22_00:55:52, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.1, logistic,0.06,dp,0.92, 0.08, 0.92, 0.08, 0.92, 0.09
07-05-22_01:04:14, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.1, logistic,0.12,dp,0.91, 0.05, 0.91, 0.05, 0.91, 0.04
07-05-22_01:12:41, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.1, logistic,0.18,dp,0.89, -0.01, 0.89, -0.01, 0.89, -0.02
07-05-22_01:21:00, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.1, logistic,0.24,dp,0.87, -0.09, 0.87, -0.09, 0.87, -0.08
07-05-22_01:29:31, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.4, logistic,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.91, 0.14
07-05-22_01:37:51, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.4, logistic,0.06,dp,0.91, 0.08, 0.91, 0.08, 0.91, 0.08
07-05-22_01:46:14, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.4, logistic,0.12,dp,0.90, 0.03, 0.90, 0.03, 0.90, 0.03
07-05-22_01:54:34, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.4, logistic,0.18,dp,0.87, -0.05, 0.87, -0.05, 0.87, -0.05
07-05-22_02:03:02, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.4, logistic,0.24,dp,0.85, -0.09, 0.85, -0.09, 0.85, -0.11
07-05-22_02:11:20, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.8, logistic,0.0,dp,0.91, 0.15, 0.91, 0.15, 0.91, 0.14
07-05-22_02:19:42, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.8, logistic,0.06,dp,0.90, 0.08, 0.90, 0.08, 0.90, 0.08
07-05-22_02:28:11, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.8, logistic,0.12,dp,0.88, -0.01, 0.88, -0.01, 0.88, 0.01
07-05-22_02:36:29, configs/celeba/ResNet18sparse_celeba_kn.yml, ResNet18_sparse_celeba_kn, 128,0.01,cosine_lr,0.8, logistic,0.18,dp,0.87, -0.05, 0.87, -0.05, 0.87, -0.05
