Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
07-04-22_16:41:54, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.92, 0.11, 0.92, 0.11, 0.92, 0.14
07-04-22_16:56:16, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.92, 0.11, 0.92, 0.08, 0.92, 0.10
07-04-22_17:10:48, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.91, 0.06, 0.91, 0.06, 0.91, 0.06
07-04-22_17:25:21, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.89, -0.02, 0.89, 0.01, 0.90, 0.00
07-04-22_17:39:56, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.89, -0.03, 0.89, -0.03, 0.88, -0.05
07-04-22_17:48:23, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.92, 0.14
07-04-22_17:56:36, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.1, logistic,0.06,dp,0.92, 0.10, 0.92, 0.10, 0.92, 0.09
07-04-22_18:04:56, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.1, logistic,0.12,dp,0.91, 0.04, 0.91, 0.04, 0.91, 0.05
07-04-22_18:13:13, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.1, logistic,0.18,dp,0.89, -0.01, 0.89, -0.01, 0.89, -0.02
07-04-22_18:21:28, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.1, logistic,0.24,dp,0.86, -0.09, 0.86, -0.09, 0.87, -0.08
07-04-22_18:29:44, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18_sparse_celeba_sc, 128,0.01,cosine_lr,0.4, logistic,0.0,dp,0.91, 0.14, 0.92, 0.14, 0.92, 0.14
