Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
07-04-22_15:44:20, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.95, logistic,0.06,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
07-04-22_15:58:48, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.95, logistic,0.12,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
07-04-22_16:13:09, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.95, logistic,0.18,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
07-04-22_16:27:27, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.95, logistic,0.24,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
07-05-22_03:34:55, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
07-05-22_03:43:11, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
07-05-22_03:51:24, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
07-05-22_03:59:48, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
07-05-22_04:07:55, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
07-05-22_04:16:23, configs/celeba/ResNet18sparse_celeba_unc.yml, ResNet18_sparse_celeba_unc, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
