Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
07-04-22_20:34:57, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.92, 0.13, 0.92, 0.13, 0.92, 0.14
07-04-22_20:43:29, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.92, 0.10, 0.92, 0.10, 0.92, 0.10
07-04-22_20:51:59, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.91, 0.06, 0.91, 0.06, 0.91, 0.05
07-04-22_21:00:20, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.90, -0.01, 0.90, -0.01, 0.90, 0.01
07-04-22_21:08:54, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.05, logistic,0.24,dp,0.89, -0.04, 0.89, -0.04, 0.88, -0.05
07-04-22_21:17:31, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.92, 0.14
07-04-22_21:26:05, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.1, logistic,0.06,dp,0.92, 0.09, 0.92, 0.09, 0.92, 0.09
07-04-22_21:34:36, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.1, logistic,0.12,dp,0.90, 0.03, 0.90, 0.03, 0.91, 0.04
07-04-22_21:43:07, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.1, logistic,0.18,dp,0.88, -0.05, 0.89, -0.02, 0.89, -0.01
07-04-22_21:51:31, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.1, logistic,0.24,dp,0.88, -0.05, 0.88, -0.05, 0.87, -0.08
07-04-22_21:59:51, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.4, logistic,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.91, 0.14
07-04-22_22:08:19, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.4, logistic,0.06,dp,0.91, 0.07, 0.91, 0.07, 0.91, 0.08
07-04-22_22:16:43, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.4, logistic,0.12,dp,0.90, 0.03, 0.90, 0.03, 0.90, 0.03
07-04-22_22:25:17, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.4, logistic,0.18,dp,0.88, -0.02, 0.88, -0.02, 0.87, -0.04
07-04-22_22:33:39, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.4, logistic,0.24,dp,0.85, -0.11, 0.85, -0.11, 0.85, -0.11
07-04-22_22:41:55, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.8, logistic,0.0,dp,0.91, 0.16, 0.91, 0.16, 0.91, 0.14
07-04-22_22:50:13, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.8, logistic,0.06,dp,0.90, 0.08, 0.90, 0.08, 0.90, 0.08
07-04-22_22:58:31, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.8, logistic,0.12,dp,0.88, 0.00, 0.88, 0.00, 0.88, 0.01
07-04-22_23:07:01, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.8, logistic,0.18,dp,0.87, -0.05, 0.87, -0.05, 0.87, -0.04
07-04-22_23:15:31, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.8, logistic,0.24,dp,0.85, -0.10, 0.85, -0.10, 0.84, -0.12
07-04-22_23:23:51, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.95, logistic,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.90, 0.14
07-04-22_23:32:15, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.95, logistic,0.06,dp,0.89, 0.08, 0.89, 0.08, 0.89, 0.08
07-04-22_23:40:47, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.95, logistic,0.12,dp,0.88, -0.00, 0.88, -0.00, 0.88, 0.01
07-04-22_23:49:11, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.95, logistic,0.18,dp,0.86, -0.07, 0.86, -0.07, 0.86, -0.05
07-04-22_23:57:38, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.95, logistic,0.24,dp,0.83, -0.14, 0.83, -0.14, 0.83, -0.12
07-05-22_10:35:52, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.91, 0.14, 0.92, 0.14, 0.92, 0.14
07-05-22_10:44:17, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.05, logistic,0.06,dp,0.92, 0.09, 0.92, 0.09, 0.92, 0.10
07-05-22_10:52:44, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.05, logistic,0.12,dp,0.91, 0.03, 0.91, 0.03, 0.91, 0.05
07-05-22_11:01:07, configs/celeba/ResNet18sparse_celeba_xn.yml, ResNet18_sparse_celeba_xn, 128,0.01,cosine_lr,0.05, logistic,0.18,dp,0.89, 0.00, 0.89, 0.00, 0.89, 0.00
