Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
08-10-22_06:55:14, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.0,dp,0.93, 0.15, 0.93, 0.15, 0.94, 0.14
08-10-22_07:09:23, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
08-10-22_07:23:45, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
08-10-22_07:38:09, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.06,dp,0.93, 0.09, 0.93, 0.09, 0.94, 0.09
08-10-22_07:52:22, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.06,dp,0.92, 0.07, 0.92, 0.09, 0.94, 0.09
08-10-22_08:06:31, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.06,dp,0.92, 0.09, 0.92, 0.09, 0.94, 0.09
08-10-22_08:20:46, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.12,dp,0.90, 0.01, 0.90, 0.01, 0.92, 0.01
08-10-22_08:35:14, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.12,dp,0.89, -0.03, 0.91, 0.02, 0.92, 0.01
08-10-22_08:49:35, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.12,dp,0.90, -0.00, 0.90, -0.00, 0.92, 0.01
08-10-22_09:03:55, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.18,dp,0.85, -0.15, 0.85, -0.15, 0.85, -0.16
08-10-22_09:18:06, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.18,dp,0.85, -0.16, 0.85, -0.16, 0.85, -0.16
08-10-22_09:32:28, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_hinge, 128,0.01,cosine_lr,1.0, hinge,0.18,dp,0.81, -0.23, 0.84, -0.16, 0.85, -0.16
