Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
08-10-22_11:57:42, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
08-10-22_12:11:39, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
08-10-22_12:25:47, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.0,dp,0.93, 0.15, 0.93, 0.15, 0.94, 0.14
08-10-22_12:39:38, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.06,dp,0.90, 0.10, 0.90, 0.10, 0.87, 0.08
08-10-22_12:53:44, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.06,dp,0.88, 0.05, 0.88, 0.05, 0.88, 0.09
08-10-22_13:07:45, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.06,dp,0.90, 0.07, 0.90, 0.07, 0.89, 0.09
08-10-22_13:21:40, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.12,dp,0.85, -0.03, 0.85, -0.03, 0.79, -0.16
08-10-22_13:35:44, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.12,dp,0.79, -0.21, 0.79, -0.21, 0.76, -0.26
08-10-22_13:49:47, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.12,dp,0.73, -0.37, 0.77, -0.26, 0.80, -0.14
08-10-22_14:03:56, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.18,dp,0.72, -0.43, 0.72, -0.39, 0.72, -0.41
08-10-22_14:18:08, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.18,dp,0.67, -0.44, 0.79, -0.20, 0.73, -0.30
08-10-22_14:32:33, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.18,dp,0.80, -0.21, 0.80, -0.21, 0.74, -0.29
08-10-22_14:46:52, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.24,dp,0.63, -0.53, 0.72, -0.36, 0.66, -0.37
08-10-22_15:01:15, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.24,dp,0.70, -0.47, 0.70, -0.47, 0.70, -0.46
08-10-22_15:15:32, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.24,dp,0.75, -0.31, 0.75, -0.31, 0.69, -0.35
08-10-22_15:29:49, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.3,dp,0.69, -0.49, 0.70, -0.45, 0.69, -0.48
08-10-22_15:44:00, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.3,dp,0.69, -0.51, 0.69, -0.51, 0.69, -0.49
08-10-22_15:58:06, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.3,dp,0.68, -0.53, 0.69, -0.46, 0.69, -0.48
08-10-22_16:12:30, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.36,dp,0.69, -0.50, 0.69, -0.50, 0.68, -0.51
08-10-22_16:26:36, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.36,dp,0.69, -0.50, 0.70, -0.45, 0.68, -0.51
08-10-22_16:40:54, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.36,dp,0.69, -0.50, 0.69, -0.50, 0.68, -0.51
10-18-22_08:06:35, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.0,dp,0.93, 0.15, 0.93, 0.15, 0.94, 0.14
10-18-22_08:22:24, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.0,dp,0.92, 0.15, 0.93, 0.13, 0.94, 0.14
10-18-22_08:38:09, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.0,dp,0.93, 0.15, 0.93, 0.14, 0.94, 0.14
10-18-22_08:53:49, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.06,dp,0.90, 0.13, 0.90, 0.13, 0.88, 0.09
10-18-22_09:09:37, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.06,dp,0.88, 0.03, 0.88, 0.03, 0.86, 0.01
10-18-22_09:25:10, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.06,dp,0.90, 0.17, 0.90, 0.17, 0.89, 0.08
10-18-22_09:40:58, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.12,dp,0.80, -0.17, 0.80, -0.17, 0.78, -0.19
10-18-22_09:56:40, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.12,dp,0.77, -0.21, 0.79, -0.17, 0.78, -0.18
10-18-22_10:12:16, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.12,dp,0.76, -0.32, 0.81, -0.18, 0.78, -0.22
10-18-22_10:27:53, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.18,dp,0.72, -0.34, 0.77, -0.18, 0.74, -0.25
10-18-22_10:44:04, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_linear, 128,0.01,cosine_lr,1.0, linear,0.18,dp,0.75, -0.30, 0.75, -0.30, 0.73, -0.32
