Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
08-10-22_02:02:43, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
08-10-22_02:16:31, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
08-10-22_02:30:31, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
08-10-22_02:44:22, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.93, 0.11, 0.93, 0.11, 0.94, 0.11
08-10-22_02:58:12, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.93, 0.10, 0.93, 0.10, 0.94, 0.11
08-10-22_03:12:02, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.93, 0.10, 0.93, 0.10, 0.94, 0.11
08-10-22_03:25:58, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.92, 0.06, 0.92, 0.06, 0.93, 0.07
08-10-22_03:39:50, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.92, 0.05, 0.92, 0.05, 0.93, 0.07
08-10-22_03:53:49, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.92, 0.07, 0.92, 0.07, 0.93, 0.08
08-10-22_04:07:55, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.91, 0.02, 0.91, 0.02, 0.92, 0.03
08-10-22_04:21:55, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.91, 0.01, 0.91, 0.01, 0.92, 0.03
08-10-22_04:35:45, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.92, 0.04, 0.92, 0.04, 0.92, 0.03
08-10-22_04:49:43, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.91, 0.01, 0.91, 0.01, 0.91, -0.02
08-10-22_05:03:40, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.91, 0.01, 0.91, 0.01, 0.90, -0.02
08-10-22_05:17:33, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.89, -0.05, 0.89, -0.05, 0.91, -0.02
08-10-22_05:31:28, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.88, -0.09, 0.88, -0.09, 0.88, -0.09
08-10-22_05:45:21, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.87, -0.10, 0.88, -0.06, 0.88, -0.08
08-10-22_05:59:18, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.88, -0.07, 0.88, -0.07, 0.88, -0.09
08-10-22_06:13:12, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.84, -0.19, 0.84, -0.13, 0.84, -0.19
08-10-22_06:27:04, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.79, -0.27, 0.83, -0.18, 0.84, -0.19
08-10-22_06:41:07, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.85, -0.13, 0.85, -0.13, 0.84, -0.20
10-17-22_21:03:50, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
10-17-22_21:19:20, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.13, 0.93, 0.13, 0.94, 0.14
10-17-22_21:35:03, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.13, 0.93, 0.13, 0.94, 0.14
10-17-22_21:50:49, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.93, 0.10, 0.93, 0.10, 0.94, 0.11
10-17-22_22:06:56, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.93, 0.10, 0.93, 0.10, 0.94, 0.11
10-17-22_22:22:35, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.92, 0.10, 0.93, 0.10, 0.94, 0.11
10-17-22_22:38:17, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.92, 0.06, 0.92, 0.06, 0.93, 0.08
10-17-22_22:53:59, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.92, 0.07, 0.92, 0.07, 0.93, 0.08
10-17-22_23:09:45, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.92, 0.07, 0.92, 0.07, 0.93, 0.08
10-17-22_23:25:18, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.92, 0.04, 0.92, 0.04, 0.92, 0.04
10-17-22_23:40:53, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.88, -0.04, 0.90, 0.00, 0.92, 0.04
10-17-22_23:56:34, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.91, 0.03, 0.91, 0.03, 0.92, 0.03
10-18-22_00:12:25, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.88, -0.05, 0.89, -0.01, 0.91, -0.02
10-18-22_00:28:07, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.90, -0.01, 0.90, -0.01, 0.90, -0.02
10-18-22_00:43:43, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.88, -0.06, 0.89, -0.03, 0.91, -0.02
10-18-22_00:59:13, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.89, -0.04, 0.89, -0.04, 0.88, -0.10
10-18-22_01:14:40, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.87, -0.05, 0.87, -0.09, 0.88, -0.09
10-18-22_01:30:18, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.85, -0.15, 0.85, -0.15, 0.88, -0.09
10-18-22_01:46:06, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.85, -0.15, 0.85, -0.15, 0.84, -0.19
10-18-22_02:01:53, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.83, -0.19, 0.83, -0.19, 0.84, -0.19
10-18-22_02:17:41, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.77, -0.33, 0.85, -0.12, 0.84, -0.19
10-27-22_23:08:29, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.91, 0.14, 0.92, 0.14, 0.94, 0.14
11-07-22_22:55:09, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
11-07-22_23:11:53, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.06,dp,0.89, 0.04, 0.92, 0.09, 0.94, 0.11
11-07-22_23:27:33, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.12,dp,0.92, 0.08, 0.92, 0.08, 0.94, 0.08
11-07-22_23:43:23, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.18,dp,0.90, 0.01, 0.91, 0.05, 0.92, 0.04
11-08-22_00:03:33, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.24,dp,0.88, -0.08, 0.90, -0.02, 0.91, -0.02
11-08-22_00:23:56, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.3,dp,0.87, -0.09, 0.87, -0.09, 0.88, -0.09
11-08-22_00:47:09, configs/celeba/ResNet18dense_celeba_new.yml, ResNet18dense_new_sc_logistic, 128,0.01,cosine_lr,1.0, logistic,0.36,dp,0.83, -0.20, 0.83, -0.20, 0.84, -0.20
