Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
10-08-22_22:39:01, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.05, hinge,0.0,dp,0.92, 0.15, 0.92, 0.15, 0.92, 0.14
10-08-22_23:01:41, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.05, hinge,0.06,dp,0.92, 0.09, 0.92, 0.09, 0.92, 0.08
10-08-22_23:24:22, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.05, hinge,0.12,dp,0.90, 0.00, 0.90, 0.00, 0.90, -0.01
10-08-22_23:46:50, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.05, hinge,0.18,dp,0.79, -0.26, 0.82, -0.19, 0.84, -0.17
10-09-22_00:09:16, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.05, hinge,0.24,dp,0.73, -0.41, 0.73, -0.41, 0.74, -0.39
10-09-22_00:31:41, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.1, hinge,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.92, 0.14
10-09-22_00:54:06, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.1, hinge,0.06,dp,0.92, 0.07, 0.92, 0.07, 0.92, 0.07
10-09-22_01:16:29, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.1, hinge,0.12,dp,0.89, -0.02, 0.89, -0.02, 0.89, -0.02
10-09-22_01:38:54, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.1, hinge,0.18,dp,0.84, -0.17, 0.84, -0.17, 0.83, -0.18
10-09-22_02:01:18, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_hinge, 128,0.01,cosine_lr,0.1, hinge,0.24,dp,0.72, -0.43, 0.73, -0.36, 0.74, -0.37
