Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
10-08-22_22:38:58, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.0,dp,0.92, 0.13, 0.92, 0.13, 0.92, 0.14
10-08-22_23:01:34, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.06,dp,0.91, 0.05, 0.91, 0.05, 0.91, 0.05
10-08-22_23:24:13, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.12,dp,0.88, -0.06, 0.88, -0.06, 0.88, -0.06
10-08-22_23:46:36, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.18,dp,0.78, -0.30, 0.78, -0.30, 0.79, -0.26
10-09-22_00:08:57, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.24,dp,0.70, -0.49, 0.72, -0.43, 0.70, -0.45
10-09-22_00:31:15, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.1, linear,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.92, 0.14
10-09-22_00:53:41, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.1, linear,0.06,dp,0.91, 0.05, 0.91, 0.05, 0.91, 0.04
10-09-22_01:16:03, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.1, linear,0.12,dp,0.87, -0.06, 0.87, -0.06, 0.86, -0.09
10-09-22_01:38:29, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.1, linear,0.18,dp,0.78, -0.27, 0.80, -0.23, 0.79, -0.27
10-09-22_02:00:53, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.1, linear,0.24,dp,0.70, -0.44, 0.71, -0.44, 0.69, -0.45
10-09-22_02:23:20, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.4, linear,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.92, 0.14
10-09-22_02:45:45, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.4, linear,0.06,dp,0.89, -0.00, 0.89, -0.00, 0.89, 0.00
10-09-22_03:08:17, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.4, linear,0.12,dp,0.82, -0.19, 0.83, -0.14, 0.83, -0.16
10-09-22_03:30:37, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.4, linear,0.18,dp,0.75, -0.34, 0.76, -0.33, 0.74, -0.33
10-09-22_03:52:56, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.4, linear,0.24,dp,0.69, -0.48, 0.69, -0.43, 0.67, -0.47
10-09-22_04:15:13, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.8, linear,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.91, 0.14
10-09-22_04:37:31, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.8, linear,0.06,dp,0.89, -0.00, 0.89, -0.00, 0.88, -0.01
10-09-22_04:59:55, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.8, linear,0.12,dp,0.82, -0.15, 0.82, -0.15, 0.82, -0.16
10-09-22_05:22:19, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.8, linear,0.18,dp,0.70, -0.41, 0.76, -0.26, 0.73, -0.34
10-09-22_05:44:45, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.8, linear,0.24,dp,0.70, -0.46, 0.70, -0.46, 0.70, -0.45
10-09-22_06:06:58, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.95, linear,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.91, 0.14
10-09-22_06:29:34, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.95, linear,0.06,dp,0.88, -0.00, 0.88, -0.00, 0.88, -0.00
10-09-22_06:52:00, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.95, linear,0.12,dp,0.81, -0.18, 0.82, -0.14, 0.80, -0.18
10-09-22_07:14:27, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.95, linear,0.18,dp,0.76, -0.30, 0.76, -0.30, 0.73, -0.33
10-09-22_07:36:49, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.95, linear,0.24,dp,0.71, -0.36, 0.71, -0.36, 0.67, -0.45
10-09-22_07:59:19, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.92, 0.14
10-09-22_08:21:43, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.06,dp,0.90, 0.03, 0.90, 0.03, 0.91, 0.05
10-09-22_08:44:09, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.12,dp,0.88, -0.06, 0.88, -0.06, 0.87, -0.07
10-09-22_09:06:33, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.18,dp,0.80, -0.24, 0.80, -0.24, 0.80, -0.25
10-09-22_09:28:45, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.05, linear,0.24,dp,0.70, -0.45, 0.73, -0.39, 0.70, -0.45
10-09-22_09:51:03, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.1, linear,0.0,dp,0.92, 0.15, 0.92, 0.15, 0.92, 0.14
10-09-22_10:13:25, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.1, linear,0.06,dp,0.91, 0.05, 0.91, 0.05, 0.91, 0.04
10-09-22_10:35:47, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.1, linear,0.12,dp,0.88, -0.05, 0.88, -0.05, 0.86, -0.09
10-09-22_10:58:10, configs/celeba/ResNet18sparse_celeba_sc.yml, ResNet18sparse_celeba_sc_linear, 128,0.01,cosine_lr,0.1, linear,0.18,dp,0.80, -0.25, 0.80, -0.25, 0.78, -0.28
