Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
10-10-22_01:37:18, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.001, logistic-,0.0,dp,0.52, 0.00, 0.52, 0.00, 0.52, 0.00
10-10-22_02:00:59, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.002, logistic,0.0,dp,0.89, 0.13, 0.89, 0.13, 0.88, 0.13
10-10-22_02:18:33, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.0015, logistic,0.0,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
10-10-22_02:40:08, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.0005, logistic,0.0,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
10-11-22_02:51:11, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.0005, logistic,0.0,dp,0.75, 0.00, 0.75, 0.00, 0.78, 0.00
10-11-22_03:05:49, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.0005, logistic,0.0,dp,0.75, 0.00, 0.75, 0.00, 0.78, 0.00
10-19-22_05:13:39, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.001, logistic,0.0,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
10-19-22_05:36:17, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.0015, logistic,0.0,dp,0.53, 0.02, 0.53, 0.02, 0.53, 0.01
10-19-22_05:59:14, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.002, logistic,0.0,dp,0.89, 0.14, 0.89, 0.14, 0.88, 0.13
10-19-22_06:22:16, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.0025, logistic,0.0,dp,0.90, 0.15, 0.90, 0.15, 0.90, 0.14
10-19-22_06:45:08, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.003, logistic,0.0,dp,0.90, 0.14, 0.90, 0.14, 0.90, 0.14
10-19-22_07:08:03, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.0035, logistic,0.0,dp,0.90, 0.14, 0.90, 0.14, 0.90, 0.14
10-19-22_07:30:39, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.004, logistic,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.91, 0.14
10-19-22_07:53:05, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.0025, logistic,0.0,dp,0.89, 0.13, 0.89, 0.13, 0.89, 0.14
10-19-22_08:15:45, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.005, logistic,0.0,dp,0.91, 0.15, 0.91, 0.15, 0.91, 0.14
10-19-22_08:38:28, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.006, logistic,0.0,dp,0.91, 0.14, 0.91, 0.14, 0.92, 0.14
10-19-22_08:57:38, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.007, logistic,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.92, 0.14
10-19-22_09:15:37, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.008, logistic,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.92, 0.14
10-19-22_09:33:44, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.009, logistic,0.0,dp,0.92, 0.15, 0.92, 0.15, 0.92, 0.14
10-19-22_09:51:50, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.01, logistic,0.0,dp,0.92, 0.15, 0.92, 0.15, 0.93, 0.14
10-19-22_10:09:55, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.02, logistic,0.0,dp,0.93, 0.13, 0.93, 0.13, 0.93, 0.14
10-19-22_10:27:47, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.05, logistic,0.0,dp,0.92, 0.14, 0.92, 0.14, 0.94, 0.14
10-19-22_10:45:37, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.1, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
10-19-22_11:03:41, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.2, logistic,0.0,dp,0.92, 0.15, 0.93, 0.13, 0.94, 0.14
10-19-22_11:21:47, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.4, logistic,0.0,dp,0.92, 0.14, 0.92, 0.15, 0.94, 0.14
10-19-22_11:39:53, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.8, logistic,0.0,dp,0.92, 0.13, 0.93, 0.13, 0.94, 0.14
10-19-22_11:57:59, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.9, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
10-19-22_12:15:55, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.95, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
10-19-22_12:34:03, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.99, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
10-19-22_12:52:19, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.999, logistic,0.0,dp,0.93, 0.14, 0.93, 0.14, 0.94, 0.14
10-19-22_13:10:33, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets, 128,0.01,cosine_lr,0.001, logistic,0.0,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
