Date Finished, Base Config, Name, Batch Size,Learning Rate,LR Policy,Prune Rate, fair Regularization,lam fair,fair type,Current Val Top 1, Current Val Unfairness, Best Val Top 1, Best Val Unfairness, Best Train Top 1, Best Train Unfairness
10-19-22_05:37:10, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.001, logistic,0.0,dp,0.52, 0.00, 0.52, 0.00, 0.52, 0.00
10-19-22_05:55:49, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.002, logistic,0.06,dp,0.89, 0.07, 0.89, 0.07, 0.89, 0.07
10-19-22_06:14:22, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.001, logistic,0.12,dp,0.52, 0.00, 0.52, 0.00, 0.52, 0.00
10-19-22_06:33:02, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.001, logistic,0.18,dp,0.52, 0.00, 0.52, 0.00, 0.52, -0.00
10-19-22_06:51:43, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.001, logistic,0.24,dp,0.48, 0.00, 0.48, 0.00, 0.48, 0.00
10-19-22_07:10:22, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.001, logistic,0.3,dp,0.52, 0.00, 0.52, 0.00, 0.52, 0.00
10-19-22_07:28:54, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.001, logistic,0.36,dp,0.52, 0.00, 0.52, 0.00, 0.52, 0.00
10-19-22_07:47:33, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.002, logistic,0.0,dp,0.89, 0.14, 0.89, 0.14, 0.88, 0.13
10-19-22_08:06:20, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.002, logistic,0.06,dp,0.88, 0.07, 0.88, 0.07, 0.88, 0.07
10-19-22_08:24:59, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.002, logistic,0.12,dp,0.88, 0.02, 0.88, 0.02, 0.87, 0.02
10-19-22_08:43:50, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.002, logistic,0.18,dp,0.52, 0.00, 0.52, 0.00, 0.52, -0.00
10-19-22_09:02:35, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.002, logistic,0.24,dp,0.83, -0.13, 0.83, -0.10, 0.83, -0.11
10-19-22_09:21:01, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.002, logistic,0.3,dp,0.79, -0.20, 0.80, -0.12, 0.80, -0.18
10-19-22_09:39:58, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.002, logistic,0.36,dp,0.75, -0.30, 0.75, -0.26, 0.77, -0.26
10-19-22_09:58:51, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.005, logistic,0.0,dp,0.91, 0.15, 0.91, 0.15, 0.92, 0.14
10-19-22_10:17:41, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.005, logistic,0.06,dp,0.91, 0.10, 0.91, 0.10, 0.91, 0.09
10-19-22_10:36:18, configs/celeba/ResNet18sparse_celeba_sc.yml, random_tickets2, 128,0.01,cosine_lr,0.005, logistic,0.12,dp,0.90, 0.04, 0.90, 0.04, 0.90, 0.04
